
# RunManager log started at Sat Dec 11 21:31:20 2010
# NEATStrategy starting, identifier neat_101211_213120

# RunManager log started at Sat Dec 11 21:55:21 2010
# NEATStrategy starting, identifier neat_101211_215521
neat_110117_233239_00001_009, 60.2992537267

# RunManager log started at Mon Jan 24 20:44:45 2011

# RunManager log started at Mon Jan 24 20:45:14 2011
380.92364288383453 0.5 0.3494561242985269 -1.0 0.15077219851979135, 155.051604313
380.92364288383453 0.5 0.3494561242985269 -1.0 0.15077219851979135, 174.63390278
380.92364288383453 0.5 0.3494561242985269 -1.0 0.15077219851979135, 139.176147382
380.92364288383453 0.5 0.3494561242985269 -1.0 0.15077219851979135, 190.800943394
380.92364288383453 0.5 0.3494561242985269 -1.0 0.15077219851979135, 155.621335298
380.92364288383453 0.5 0.3494561242985269 -1.0 0.15077219851979135, 208.312265601

# RunManager log started at Mon Jan 24 20:54:17 2011
380.81738122127535 0.5 0.36313466983776443 -1.0 0.21907116979927219, 128.128841406
380.81738122127535 0.5 0.36313466983776443 -1.0 0.21907116979927219, 63.2396236548
380.81738122127535 0.5 0.36313466983776443 -1.0 0.21907116979927219, 142.126704036
380.81738122127535 0.5 0.36313466983776443 -1.0 0.21907116979927219, 59.4810894319
380.81738122127535 0.5 0.36313466983776443 -1.0 0.21907116979927219, 141.650979524
380.81738122127535 0.5 0.36313466983776443 -1.0 0.21907116979927219, 139.978569788

# RunManager log started at Mon Jan 24 21:04:25 2011
380.92364288383453 0.5 0.3494561242985269 -1.0 0.15077219851979135, 181.198785868
380.92364288383453 0.5 0.3494561242985269 -1.0 0.15077219851979135, 168.291413922

# RunManager log started at Mon Jan 24 21:12:50 2011
380.92364288383453 0.5 0.3494561242985269 -1.0 0.15077219851979135, 254.921556562
380.92364288383453 0.5 0.3494561242985269 -1.0 0.15077219851979135, 238.170107276
380.92364288383453 0.5 0.3494561242985269 -1.0 0.15077219851979135, 224.644163067
380.92364288383453 0.5 0.3494561242985269 -1.0 0.15077219851979135, 239.002092041
380.92364288383453 0.5 0.3494561242985269 -1.0 0.15077219851979135, 210.090456709

# RunManager log started at Mon Jan 24 21:19:37 2011
378.7794128409522 0.5 0.5957085894762032 -0.51481904149882107 -0.10332187027184137, 177.290721697
378.7794128409522 0.5 0.5957085894762032 -0.51481904149882107 -0.10332187027184137, 79.5770067293
378.7794128409522 0.5 0.5957085894762032 -0.51481904149882107 -0.10332187027184137, 187.072178584
378.7794128409522 0.5 0.5957085894762032 -0.51481904149882107 -0.10332187027184137, 72.1959140118

# RunManager log started at Mon Jan 24 21:28:45 2011
378.7794128409522 0.5 0.5957085894762032 -0.51481904149882107 -0.10332187027184137, 193.313217344
378.7794128409522 0.5 0.5957085894762032 -0.51481904149882107 -0.10332187027184137, 80.4300938704

# RunManager log started at Mon Jan 24 21:37:45 2011
378.7794128409522 0.5 0.5957085894762032 -0.51481904149882107 -0.10332187027184137, 134.807269834
378.7794128409522 0.5 0.5957085894762032 -0.51481904149882107 -0.10332187027184137, 164.195006014

# RunManager log started at Mon Jan 24 21:42:29 2011
378.7794128409522 0.5 0.5957085894762032 -0.51481904149882107 -0.10332187027184137, 130.249760077

# RunManager log started at Mon Jan 24 21:48:52 2011

# RunManager log started at Mon Jan 24 21:51:13 2011

# RunManager log started at Mon Jan 24 21:54:16 2011

# RunManager log started at Mon Jan 24 21:55:16 2011

# RunManager log started at Mon Jan 24 21:56:52 2011

# RunManager log started at Mon Jan 24 21:58:02 2011

# RunManager log started at Mon Jan 24 22:04:22 2011

# RunManager log started at Mon Jan 24 22:07:11 2011

# RunManager log started at Mon Jan 24 22:08:11 2011
file__out/hyperneatTo20gens_101/neat_110115_211410_00000_002_filt__0, 57.008771255
file__out/hyperneatTo20gens_101/neat_110115_211410_00000_002_filt__1, 40.0249921924

# RunManager log started at Mon Jan 24 22:14:50 2011
file__out/hyperneatTo20gens_101/neat_110115_211410_00000_002_filt__0, 153.480454782
file__out/hyperneatTo20gens_101/neat_110115_211410_00000_002_filt__1, 117.686022959

# RunManager log started at Mon Jan 24 22:20:06 2011

# RunManager log started at Mon Jan 24 22:22:05 2011
file__out/hyperneatTo20gens_101/neat_110115_175446_00014_008_filt__0, 330.28775333
file__out/hyperneatTo20gens_101/neat_110115_175446_00014_008_filt__1, 431.653796462
file__out/hyperneatTo20gens_101/neat_110115_175446_00014_008_filt__2, 126.167547333
file__out/hyperneatTo20gens_101/neat_110115_175446_00014_008_filt__3, 40.0249921924
file__out/hyperneatTo20gens_101/neat_110115_175446_00014_008_filt__4, 226.417755488
file__out/hyperneatTo20gens_101/neat_110115_175446_00014_008_filt__5, 55.6057550978
file__out/hyperneatTo20gens_101/neat_110115_175446_00014_008_filt__6, 446.256652611
file__out/hyperneatTo20gens_101/neat_110115_175446_00014_008_filt__7, 380.86480541
file__out/hyperneatTo20gens_101/neat_110115_175446_00014_008_filt__8, 217.036863228
file__out/hyperneatTo20gens_101/neat_110115_175446_00014_008_filt__9, 387.001291988
file__out/hyperneatTo20gens_101/neat_110115_175446_00014_008_filt__10, 427.369863233

# RunManager log started at Mon Jan 24 23:00:14 2011
file__out/hyperneatTo20gens_101/neat_110115_211410_00000_002_filt__0, 47.3814309619
file__out/hyperneatTo20gens_101/neat_110115_211410_00000_002_filt__1, 67.1788657243
file__out/hyperneatTo20gens_101/neat_110115_211410_00000_002_filt__2, 89.9388681272
file__out/hyperneatTo20gens_101/neat_110115_211410_00000_002_filt__3, 89.0898422942
file__out/hyperneatTo20gens_101/neat_110115_211410_00000_002_filt__4, 401.672752374

# RunManager log started at Mon Jan 24 23:03:54 2011
file__out/hyperneatTo20gens_101/neat_110115_211410_00000_002_filt__0, 68.0147042925
file__out/hyperneatTo20gens_101/neat_110115_211410_00000_002_filt__1, 487.462819095
